region,bg_code,berufsgruppe,median_entgelt
Berlin,713,Unternehmensorganisation und -strategie,5.710
Berlin,714,Büro und Sekretariat,4.154
Berlin,715,Personalwesen und -dienstleistung,4.840
Berlin,721,Versicherungs- u. Finanzdienstleistungen,5.916
Berlin,722,"Rechnungswesen, Controlling und Revision",4.753
Berlin,723,Steuerberatung,4.338
Berlin,732,Verwaltung,4.479
Berlin,733,Medien-Dokumentations-Informationsdienst,4.217
Berlin,811,Arzt- und Praxishilfe,2.999
Berlin,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.125
Berlin,817,Nicht ärztliche Therapie und Heilkunde,3.577
Berlin,821,Altenpflege,3.599
Berlin,822,"Ernährungs-,Gesundheitsberatung,Wellness",5.055
Berlin,825,"Medizin-, Orthopädie- und Rehatechnik",3.404
Berlin,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",3.929
Berlin,832,Hauswirtschaft und Verbraucherberatung,2.469
Berlin,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",5.814
Berlin,844,Lehrtätigk. außerschul.Bildungseinricht.,4.341
Berlin,912,Geisteswissenschaften,6.294
Berlin,913,Gesellschaftswissenschaften,5.228
Berlin,921,Werbung und Marketing,4.440
Berlin,924,Redaktion und Journalismus,4.702
Berlin,932,"Innenarchitektur, Raumausstattung",3.442
Brandenburg,121,Gartenbau,2.727
Brandenburg,221,"Kunststoff,Kautschukherstell.,verarbeit",2.793
Brandenburg,231,Papier- und Verpackungstechnik,3.567
Brandenburg,232,Technische Mediengestaltung,2.618
Brandenburg,261,Mechatronik und Automatisierungstechnik,3.737
Brandenburg,262,Energietechnik,3.742
Brandenburg,263,Elektrotechnik,3.487
Brandenburg,271,Technische Forschung und Entwicklung,5.511
Brandenburg,273,"Technische Produktionsplanung,-steuerung",4.690
Brandenburg,282,Textilverarbeitung,None
Brandenburg,292,Lebensmittel- u. Genussmittelherstellung,2.619
Brandenburg,311,"Bauplanung u. -überwachung, Architektur",4.745
Brandenburg,411,Mathematik und Statistik,None
Brandenburg,431,Informatik,5.003
Brandenburg,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",5.498
Brandenburg,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",5.032
Brandenburg,434,Softwareentwicklung und Programmierung,5.479
Brandenburg,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",2.666
Brandenburg,516,Kaufleute - Verkehr und Logistik,3.500
Brandenburg,521,Fahrzeugführung im Straßenverkehr,2.773
Brandenburg,525,Bau- und Transportgeräteführung,3.089
