id,titel,beruf,arbeitgeber,eintrittsdatum,aktuelleVeroeffentlichungsdatum,ort,region,plz,land
10001-1002697560-S,Leiter*in Logistik (m/w/d),Leiter/in - Logistik,Hydreco Hydraulics GmbH,2026-03-30,2026-03-03,Helmstedt,Niedersachsen,38350,Deutschland
13319-866698/1_603177LS-S,Mitarbeiter in der Logistik (m/w/d),Assistent/in - Logistik,Hays Professional Solutions GmbH,2026-04-01,2026-03-19,Unbekannt,Hamburg,Unbekannt,Deutschland
12608-1382974-8922-1-S,Teamleiter Logistik (m/w/d),Leiter/in - Logistik,Penny-Markt GmbH Verwaltung,2026-03-10,2026-03-09,Neuhausen auf den Fildern,Baden-Württemberg,73765,Deutschland
19155-655a5d1d_JB5098318-S,Sachbearbeiter (m/w/d) Logistik,Sachbearbeiter/in - Logistik,plusswerk GmbH Niederlassung Buxtehude,2026-03-17,2026-03-17,"Hollenstedt, Nordheide",Niedersachsen,21279,Deutschland
12781-16180790-KAL-S,Teamleiter Logistik (m/w/d),Leiter/in - Logistik,Mauser + Co. GmbH,2026-03-18,2026-03-18,Ditzingen,Baden-Württemberg,71254,Deutschland
12781-16188154-KAL-S,Standortleiter Logistik (m/w/d),Leiter/in - Logistik,Oelrich Logistics GmbH,2026-03-18,2026-03-18,Linthe,Brandenburg,14822,Deutschland
12781-16135295-KAL-S,Koordinator/in Logistik (m/w/d),Leiter/in - Logistik,HAMELIN GmbH,2026-03-18,2026-03-18,Gronau (Leine),Niedersachsen,31028,Deutschland
12265-498304_JB5096665-S,Sachbearbeiter Logistik (m/w/d),Sachbearbeiter/in - Logistik,Ferchau GmbH Niederlassung Hamburg-Süderelbe,2026-04-01,2026-03-17,Hamburg,Hamburg,20539,Deutschland
12384-937014389-S,Schichtleiter Logistik (m/w/d),Schichtführer/in,Actief Personalmanagement GmbH,2026-04-01,2026-04-01,"Lich, Hessen",Hessen,35423,Deutschland
12942-1551415-1-S,Consultant (m/w/d) Logistik,Betriebswirt/in (Hochschule) - Logistik,Dirk Rossmann GmbH,2026-03-19,2026-03-17,Burgwedel,Niedersachsen,30938,Deutschland
10001-1002700644-S,Teamleiter Logistik (m/w/d),Leiter/in - Logistik,DFH Haus GmbH,2026-03-26,2026-03-04,"Simmern, Hunsrück",Rheinland-Pfalz,55469,Deutschland
19220-41b7034e100be3f7-S,Schichtleiter Logistik (m/w/d),Schichtführer/in,Kaufland Dienstleistung GmbH & Co. KG,2026-04-01,2026-04-01,Lübbenau/Spreewald,Brandenburg,03222,Deutschland
19220-cb5238113857b407-S,Schichtleiter Logistik (m/w/d),Schichtführer/in,Kaufland Dienstleistung GmbH & Co. KG,2026-04-01,2026-04-01,Meineweh,Sachsen-Anhalt,06721,Deutschland
11858-16192756-STA-S,Fachbereichsleiter Logistik (m/w/d),Leiter/in - Logistik,QUNDIS GmbH,2026-03-17,2026-03-17,Erfurt,Thüringen,99098,Deutschland
11858-16160646-STA-S,Abteilungsleiter Logistik (m/w/d),Leiter/in - Logistik,Kaufland Dienstleistung GmbH & Co. KG,2026-03-17,2026-03-17,Heilbad Heiligenstadt,Thüringen,37308,Deutschland
12362-TR-281452_602438LS-S,Sachbearbeiter Logistik (w/m/d),Sachbearbeiter/in - Logistik,Brunel GmbH NL Essen,2026-03-26,2026-03-15,"Essen, Ruhr",Nordrhein-Westfalen,45127,Deutschland
19220-7c806cda2707cfb2-S,Abteilungsleiter Logistik (m/w/d),Leiter/in - Logistik,Kaufland Dienstleistung GmbH & Co. KG,2026-04-01,2026-03-03,Heilbad Heiligenstadt,Thüringen,37308,Deutschland
12688-28849690-RJA-S,Sachbearbeiter (m/w/d) Logistik - Wareneingang,Warenannehmer/in,Fried-Seifert Logistik GmbH,2026-04-01,2026-04-01,Ehingen (Donau),Baden-Württemberg,89584,Deutschland
12642-142abda3c60f44d-S, Sachbearbeiter (m/w/d) Logistik,Assistent/in - Logistik,PEAG Personal GmbH Niederlassung Frankfurt,2026-02-25,2026-02-25,Steinau an der Straße,Hessen,36396,Deutschland
11119-4767046953-S,Sachbearbeiter Logistik (m/w/d),Speditionskaufmann/-frau,Herrmann Personaldienste GmbH,2026-04-03,2026-04-02,Dormagen,Nordrhein-Westfalen,41539,Deutschland
12362-TR-277942_599143LS-S,Projektingenieur Logistik (w/m/d),Assistent/in - Logistik,Brunel GmbH NL Braunschweig,2026-03-16,2026-02-20,Hannover,Niedersachsen,30159,Deutschland
12608-1379250-71789-1-S,Teamleiter Logistik (m/w/d),Leiter/in - Logistik,REWE Markt GmbH ZwNL Ost,2026-03-26,2026-02-25,Leipzig,Sachsen,04158,Deutschland
