id,titel,beruf,arbeitgeber,eintrittsdatum,aktuelleVeroeffentlichungsdatum,ort,region,plz,land
10000-1205973525-S,Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,Peter Bucher,2026-03-26,2026-03-26,Deggingen,Baden-Württemberg,73326,Deutschland
17907-44064307-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Inden bei Jülich,Nordrhein-Westfalen,52459,Deutschland
17907-44064305-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Heinsberg, Rheinland",Nordrhein-Westfalen,52525,Deutschland
17907-44064299-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Hürtgenwald,Nordrhein-Westfalen,52393,Deutschland
17907-44064296-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Aachen,Nordrhein-Westfalen,52074,Deutschland
17907-44064291-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Stolberg (Rheinland),Nordrhein-Westfalen,52223,Deutschland
17907-44064286-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Eschweiler, Rheinland",Nordrhein-Westfalen,52249,Deutschland
17907-44064281-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Selfkant,Nordrhein-Westfalen,52538,Deutschland
17907-44064280-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Heinsberg, Rheinland",Nordrhein-Westfalen,52525,Deutschland
17907-44064273-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Selfkant,Nordrhein-Westfalen,52538,Deutschland
17907-44064265-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Jülich,Nordrhein-Westfalen,52428,Deutschland
17907-44064261-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Heinsberg, Rheinland",Nordrhein-Westfalen,52525,Deutschland
17907-44064253-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Titz,Nordrhein-Westfalen,52445,Deutschland
17907-44064251-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Düren, Rheinland",Nordrhein-Westfalen,52351,Deutschland
17907-44064246-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Langerwehe,Nordrhein-Westfalen,52379,Deutschland
17907-44064244-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Eschweiler, Rheinland",Nordrhein-Westfalen,52249,Deutschland
17907-44064239-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Stolberg (Rheinland),Nordrhein-Westfalen,52222,Deutschland
17907-44064237-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Übach-Palenberg,Nordrhein-Westfalen,52531,Deutschland
17907-44064236-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Aachen,Nordrhein-Westfalen,52070,Deutschland
17907-44064232-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Heinsberg, Rheinland",Nordrhein-Westfalen,52525,Deutschland
17907-44064229-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Linnich,Nordrhein-Westfalen,52441,Deutschland
17907-44064226-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Geilenkirchen,Nordrhein-Westfalen,52511,Deutschland
17907-44064222-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Eschweiler, Rheinland",Nordrhein-Westfalen,52249,Deutschland
17907-44064218-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Monschau,Nordrhein-Westfalen,52156,Deutschland
17907-44064214-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Alsdorf, Rheinland",Nordrhein-Westfalen,52477,Deutschland
17907-44064210-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Baesweiler,Nordrhein-Westfalen,52499,Deutschland
17907-44064199-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Eschweiler, Rheinland",Nordrhein-Westfalen,52249,Deutschland
17907-44064194-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Niederzier,Nordrhein-Westfalen,52382,Deutschland
17907-44064188-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,"Düren, Rheinland",Nordrhein-Westfalen,52353,Deutschland
17907-44064183-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Aldenhoven bei Jülich,Nordrhein-Westfalen,52457,Deutschland
17907-44064176-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Simmerath,Nordrhein-Westfalen,52152,Deutschland
17907-44064173-326-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Wassenberg,Nordrhein-Westfalen,41849,Deutschland
17907-44061666-326-S,Werkstudent Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-26,2026-03-27,Idstein,Hessen,65510,Deutschland
10001-1002829807-S,Aushilfe im Verkauf (m/w/d),Helfer/in - Verkauf,Rofu Kinderland Spielwarenhandelsges mbH,2026-03-31,2026-03-26,Schweinfurt,Bayern,97424,Deutschland
17907-44061392-325-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-15,2026-03-26,Rüsselsheim am Main,Hessen,65428,Deutschland
17907-44061152-325-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-25,2026-03-26,"Kempen, Niederrhein",Nordrhein-Westfalen,47906,Deutschland
17907-44061052-325-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-25,2026-03-26,Hockenheim,Baden-Württemberg,68766,Deutschland
10001-1002858843-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,POCO Einrichtungsmärkte GmbH,2026-03-31,2026-03-31,Gera,Thüringen,07545,Deutschland
10001-1002854652-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,POCO Einrichtungsmärkte GmbH,2026-03-31,2026-03-31,Großwallstadt,Bayern,63868,Deutschland
10000-1205358889-S,Verkauf,Verkäufer/in - Nahrungsmittelhandwerk,Maik Albrecht Scheunenbäckerei,2026-02-23,2026-02-03,Trassenheide,Mecklenburg-Vorpommern,17449,Deutschland
15701-k52604.16914-S,Minijob (m/w/d) im Verkauf,Fachverkäufer/in - Lebensmittelhandwerk (Bäckerei),BrotHaus GmbH,2026-04-15,2026-03-30,"Ansbach, Mittelfranken",Bayern,91522,Deutschland
17907-44057807-324-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-25,Emmendingen,Baden-Württemberg,79312,Deutschland
17907-44057786-324-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-25,Freiburg im Breisgau,Baden-Württemberg,79104,Deutschland
15511-QLUK854M6VMTCHAJ-S,Fleischer im Verkauf (m/w/d),Fleischer/in - Verkauf,jobGIGANT GmbH   Co. KG Arbeitnehmerüberlassung,2026-03-24,2026-03-24,Bischofswerda,Sachsen,01877,Deutschland
17907-44055659-323-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-24,Freiburg im Breisgau,Baden-Württemberg,79117,Deutschland
17907-44055614-323-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-15,2026-03-24,Bischofsheim bei Rüsselsheim,Hessen,65474,Deutschland
17907-44055518-323-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-30,2026-03-24,Königsfeld im Schwarzwald,Baden-Württemberg,78126,Deutschland
17907-44055511-323-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-23,2026-03-24,Rottweil,Baden-Württemberg,78628,Deutschland
17907-44054700-323-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-15,2026-03-24,"Griesheim, Hessen",Hessen,64347,Deutschland
17907-44077229-41-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-05-01,2026-04-01,Kernen im Remstal,Baden-Württemberg,71394,Deutschland
17907-44077095-41-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-05-01,2026-04-01,"Mengen, Württemberg",Baden-Württemberg,88512,Deutschland
17907-44076679-41-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-04-01,Aschaffenburg,Bayern,63743,Deutschland
17907-44076386-41-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-07-01,2026-04-01,"Pfarrkirchen, Niederbayern",Bayern,84347,Deutschland
10000-1205963634-S,Mitarbeiter im Verkauf m/w/d,Einzelhandelskaufmann/-frau,Olaf Waldecker Schreibwarengeschäft,2026-05-01,2026-03-25,Mendig,Rheinland-Pfalz,56743,Deutschland
15741-ZABG7YG5DDJB41TV-S,Verkauf und Bedienertheke (m/w/d),Helfer/in - Verkauf,GOLDMANN Personaldienste Inci Kaygisuz,2026-03-27,2026-03-27,Herzogenaurach,Bayern,91074,Deutschland
10001-1002825440-S,Servicekraft/Verkauf (m/w/d),Servicekraft - Gastronomie und Gastgewerbe,Murat Celikelmas,2026-03-31,2026-03-25,Frankfurt am Main,Hessen,60326,Deutschland
17907-44063619-41-S,Nachwuchsführungskraft Verkauf (m/w/d),Verkäufer/in,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-02,2026-04-02,Penzberg,Bayern,82377,Deutschland
17907-44063617-41-S,Nachwuchsführungskraft Verkauf (m/w/d),Verkäufer/in,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-02,2026-04-02,"Oberau, Loisach",Bayern,82496,Deutschland
17907-44063615-41-S,Nachwuchsführungskraft Verkauf (m/w/d),Verkäufer/in,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-02,2026-04-02,Garmisch-Partenkirchen,Bayern,82467,Deutschland
17907-44063611-41-S,Nachwuchsführungskraft Verkauf (m/w/d),Verkäufer/in,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-02,2026-04-02,Weilheim in Oberbayern,Bayern,82362,Deutschland
13243-16052693-JB-S,Mitarbeiter (m/w/d) Verkauf,Verkäufer/in,Kabs Polsterwelt,2026-04-02,2026-04-02,"Halstenbek, Holstein",Schleswig-Holstein,25469,Deutschland
17907-44051065-320-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-05-01,2026-03-21,Wolfschlugen,Baden-Württemberg,72649,Deutschland
17907-44050662-320-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-23,2026-03-21,Kürnach,Bayern,97273,Deutschland
19220-1f9aa8cde05c8f83-S,Schülerpraktikant im Verkauf (m/w/d),Helfer/in - Verkauf,Kaufland Dienstleistung GmbH & Co. KG,2026-03-31,2026-03-10,Berlin,Berlin,13597,Deutschland
19220-5eaa1acef5ed4f3c-S,Schülerpraktikant im Verkauf (m/w/d),Helfer/in - Verkauf,Kaufland Dienstleistung GmbH & Co. KG,2026-03-31,2026-03-10,Berlin,Berlin,12103,Deutschland
19220-6706414ea2d84962-S,Schülerpraktikant im Verkauf (m/w/d),Helfer/in - Verkauf,Kaufland Dienstleistung GmbH & Co. KG,2026-03-31,2026-03-10,Berlin,Berlin,13593,Deutschland
12951-c13d3b66-234b-46aa--S,Verkäufer / Mitarbeiter im Verkauf (m/w/d),Helfer/in - Verkauf,Thomas Philipps - Märkte,2026-03-31,2026-03-31,Speyer,Rheinland-Pfalz,67346,Deutschland
12951-f4ee6a4e-ddd7-4d6d--S,Verkäufer / Mitarbeiter im Verkauf (m/w/d),Helfer/in - Verkauf,Thomas Philipps - Märkte,2026-03-31,2026-03-31,Bad Bentheim,Niedersachsen,48455,Deutschland
12951-6eedf6f3-499c-4f6b--S,Verkäufer / Mitarbeiter im Verkauf (m/w/d),Helfer/in - Verkauf,Thomas Philipps - Märkte,2026-03-31,2026-03-31,Wolfsburg,Niedersachsen,38446,Deutschland
17907-44071991-330-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-31,Freiburg im Breisgau,Baden-Württemberg,79102,Deutschland
17907-44071975-330-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-31,Heitersheim,Baden-Württemberg,79423,Deutschland
17907-44071716-330-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-31,"Salem, Baden",Baden-Württemberg,88682,Deutschland
17907-44071237-330-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-31,Miltenberg,Bayern,63897,Deutschland
17907-44071137-330-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-31,"Albstadt, Württemberg",Baden-Württemberg,72461,Deutschland
17907-44070872-330-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-31,Bad Krozingen,Baden-Württemberg,79189,Deutschland
12951-6b9a3fd1-afbc-43dd--S,Verkäufer / Mitarbeiter im Verkauf (m/w/d),Helfer/in - Verkauf,Thomas Philipps - Märkte,2026-03-31,2026-03-31,"Weimar, Thüringen",Thüringen,99425,Deutschland
13635-463874d5_JB5110362-S,Aushilfe im Verkauf (m/w/d) - Montabaur,Helfer/in - Verkauf,Ravensburger AG,2026-03-31,2026-03-31,Montabaur,Rheinland-Pfalz,56410,Deutschland
10000-1205602037-S,Helfer Verkauf (m/w/d),Helfer/in - Verkauf,GST Group GmbH,2026-03-19,2026-02-24,Frohburg,Sachsen,04654,Deutschland
10000-1202560732-S,Verkauf (m/w/d),Fachverkäufer/in - Lebensmittelhandwerk (Bäckerei),Landbäckerei Dirk Grete,2026-03-02,2025-05-20,Peine,Niedersachsen,31224,Deutschland
15701-k52604.16867-S,Minijob (m/w/d) im Verkauf,Fachverkäufer/in - Lebensmittelhandwerk (Bäckerei),BrotHaus GmbH,2026-03-31,2026-03-30,Burgbernheim,Bayern,91593,Deutschland
17907-44045394-318-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-19,"Egelsbach, Hessen",Hessen,63329,Deutschland
17907-44045344-318-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-19,München,Bayern,81249,Deutschland
17907-44066249-327-S,Minijob / Aushilfe Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-27,2026-03-28,Bonn,Nordrhein-Westfalen,53127,Deutschland
10001-1002853499-S,Minijob Verkauf (m/w/d),Verkaufsberater/in,BONITA GmbH,2026-03-31,2026-03-31,Kamp-Lintfort,Nordrhein-Westfalen,47475,Deutschland
17907-44042240-317-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-18,"Weingarten, Württemberg",Baden-Württemberg,88250,Deutschland
17907-44042047-317-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-05-01,2026-03-18,Mönchengladbach,Nordrhein-Westfalen,41068,Deutschland
12147-20260304216661-S,Helfer (m/w/d) - Verkauf,Helfer/in - Verkauf,JobImpulse Süd GmbH Bayreuth,2026-05-11,2026-03-04,Bayreuth,Bayern,95448,Deutschland
12147-20260304216663-S,Helfer (m/w/d) - Verkauf,Helfer/in - Verkauf,JobImpulse Süd GmbH Bayreuth,2026-04-07,2026-03-04,Bindlach,Bayern,95463,Deutschland
12147-20260304216662-S,Helfer (m/w/d) - Verkauf,Helfer/in - Verkauf,JobImpulse Süd GmbH Bayreuth,2026-04-07,2026-03-04,"Heinersreuth, Kreis Bayreuth",Bayern,95500,Deutschland
12016-10004204556-S,Helfer - Verkauf - Zeitschriftenladen m/w/d *,Verkäufer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,2026-04-03,2026-03-30,Berlin,Berlin,12163,Deutschland
17907-44039357-316-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-13,2026-03-17,"Nürnberg, Mittelfranken",Bayern,90455,Deutschland
17907-44039196-316-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-16,2026-03-17,Frankfurt am Main,Hessen,60528,Deutschland
12608-1390993-31892-1-S,Fleischer / Metzger Verkauf Frischetheke (m/w/d),Fleischer/in - Verkauf,REWE-Markt GmbH Zweigniederlassung West,2026-04-01,2026-03-31,Tönisvorst,Nordrhein-Westfalen,47918,Deutschland
10001-1002566629-S,Helfer Verkauf (m/w/d),Helfer/in - Verkauf,Tanja Irmler,2026-03-09,2026-02-09,Radevormwald,Nordrhein-Westfalen,42477,Deutschland
13999-k53401.30089-S,Mitarbeiter (m/w/d) im Verkauf - Lebensmitteleinzelhandel,Verkäufer/in,jobtimum GmbH,2026-04-02,2026-04-01,Sassnitz,Mecklenburg-Vorpommern,18546,Deutschland
17907-44063607-41-S,Nachwuchsführungskraft Verkauf (m/w/d),Verkäufer/in,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-04-01,Landsberg am Lech,Bayern,86899,Deutschland
17907-44063582-41-S,Nachwuchsführungskraft Verkauf (m/w/d),Verkäufer/in,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-04-01,Georgensgmünd,Bayern,91166,Deutschland
12942-1557831-1-S,Minijob im Verkauf,Verkäufer/in,Dirk Rossmann GmbH,2026-05-01,2026-04-01,Rödental,Bayern,96472,Deutschland
12608-1391387-34411-1-S,Nachwuchsführungskraft Verkauf (m/w/d),Bürokaufmann/-frau,REWE Markt GmbH ZwNL Nord,2026-04-02,2026-04-01,Hannover,Niedersachsen,30165,Deutschland
12951-fbe0d78d-9dc5-4161--S,Nachwuchsführungskraft Verkauf (m/w/d),Verkäufer/in,REWE,2026-04-01,2026-04-01,Friedrichshafen,Baden-Württemberg,88045,Deutschland
17907-44034940-313-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-14,Leingarten,Baden-Württemberg,74211,Deutschland
17907-44034876-313-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-14,Isny im Allgäu,Baden-Württemberg,88316,Deutschland
10000-1206052261-S,Teamleitung Verkauf (m/w/d),Kaufmann/-frau - Einzelhandel,Schuhhaus Dismer GmbH & Co. KG,2026-04-01,2026-04-01,Dinslaken,Nordrhein-Westfalen,46535,Deutschland
10001-1002852220-S,Minijob Verkauf (m/w/d),Verkaufsberater/in,BONITA GmbH,2026-03-30,2026-03-30,Bergisch Gladbach,Nordrhein-Westfalen,51465,Deutschland
10001-1002852205-S,Minijob Verkauf (m/w/d),Verkaufsberater/in,BONITA GmbH,2026-03-30,2026-03-30,Ratingen,Nordrhein-Westfalen,40878,Deutschland
10001-1002852190-S,Minijob Verkauf (m/w/d),Verkaufsberater/in,BONITA GmbH,2026-03-30,2026-03-30,Lindau (Bodensee),Bayern,88131,Deutschland
10001-1002487423-S,Aushilfe im Verkauf (m/w/d),Helfer/in - Verkauf,Chiemseer Dirndl & Tracht R. Ehrenleitner OHG,2026-05-02,2026-01-26,Übersee,Bayern,83236,Deutschland
17907-44028514-311-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-11,2026-03-12,"Kirchzarten, Breisgau",Baden-Württemberg,79199,Deutschland
10001-1002866636-S,Service Assistenz (m/w/d) im Verkauf,Helfer/in - Verkauf,Audika GmbH,2026-04-02,2026-04-01,"Ochsenfurt, Unterfranken",Bayern,97199,Deutschland
19220-c327f10348a99764-S,Schülerpraktikant im Verkauf (m/w/d),Helfer/in - Verkauf,Kaufland Dienstleistung GmbH & Co. KG,2026-04-01,2026-02-12,"Chemnitz, Sachsen",Sachsen,09116,Deutschland
19220-78200f8b83137eb3-S,Schülerpraktikant im Verkauf (m/w/d),Helfer/in - Verkauf,Kaufland Dienstleistung GmbH & Co. KG,2026-04-01,2026-02-12,Limbach-Oberfrohna,Sachsen,09212,Deutschland
19220-72bae4975d2c529d-S,Schülerpraktikant im Verkauf (m/w/d),Helfer/in - Verkauf,Kaufland Dienstleistung GmbH & Co. KG,2026-03-31,2026-02-12,"Nürnberg, Mittelfranken",Bayern,90443,Deutschland
10000-1205161592-S,Verkauf von Tiefkühlwaren (m/w/d),Helfer/in - Verkauf,Daniel Aretz Einzelunternehmen,2026-03-17,2026-01-19,Hückelhoven,Nordrhein-Westfalen,41836,Deutschland
10001-1002507457-S,Helfer (m/w/d) im Verkauf,Helfer/in - Verkauf,RASANT Personal-Leasing GmbH Cuxhaven,2026-02-10,2026-01-29,"Neumünster, Holstein",Schleswig-Holstein,Unbekannt,Deutschland
17907-44026701-310-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-10,2026-03-11,"Merzhausen, Breisgau",Baden-Württemberg,79249,Deutschland
17907-44025829-310-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-10,2026-03-11,Volkach,Bayern,97332,Deutschland
17907-44025220-310-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-11,Lauda-Königshofen,Baden-Württemberg,97922,Deutschland
17907-44025140-310-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-04-01,2026-03-11,Weikersheim,Baden-Württemberg,97990,Deutschland
11119-4753417663-S,Helfer - Verkauf (m/w/d),Helfer/in - Verkauf,Alb Zeitarbeit GmbH,2026-04-01,2026-03-19,Reutlingen,Baden-Württemberg,72762,Deutschland
11119-4753422251-S,Helfer - Verkauf (m/w/d),Helfer/in - Verkauf,Alb Zeitarbeit GmbH,2026-04-01,2026-03-19,"Albstadt, Württemberg",Baden-Württemberg,72458,Deutschland
17907-44023366-39-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-15,2026-03-10,Biberach an der Riß,Baden-Württemberg,88400,Deutschland
17907-44022640-39-S,Studentenjob Verkauf (m/w/d),Helfer/in - Verkauf,ALDI SÜD Dienstleistungs- SE & Co. oHG,2026-03-16,2026-03-10,Wipperfürth,Nordrhein-Westfalen,51688,Deutschland
10001-1002733765-S,Aushilfe im Verkauf (m/w/d),Helfer/in - Verkauf,Rofu Kinderland Spielwarenhandelsges mbH,2026-03-10,2026-03-10,Pforzheim,Baden-Württemberg,75179,Deutschland
10001-1002733744-S,Aushilfe im Verkauf (m/w/d),Helfer/in - Verkauf,Rofu Kinderland Spielwarenhandelsges mbH,2026-03-10,2026-03-10,Bayreuth,Bayern,95445,Deutschland
19220-f0780ecfae0e52e4-S,Schülerpraktikant im Verkauf (m/w/d),Helfer/in - Verkauf,Kaufland Dienstleistung GmbH & Co. KG,2026-04-02,2026-02-06,"Hattingen, Ruhr",Nordrhein-Westfalen,45525,Deutschland
19220-5c1df4a8cec65db2-S,Schülerpraktikant im Verkauf (m/w/d),Helfer/in - Verkauf,Kaufland Dienstleistung GmbH & Co. KG,2026-04-02,2026-02-06,Korbach,Hessen,34497,Deutschland
